id_mbes;X;Y;Z;id_moules;Nbrs_moules;Classe;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;GMM_Classe;New_Classe
32546985;163418.547;5146125.000;4.816;465;2;Inexistant;1.734913;2.840948e-02;0.667440;0.999842;0.626165;0.373678;9.684771e-05;1.575209e-04;1.057220e-03;-1.160000e-10;-0.000000e+00;9.600007;6.012699;0.123000;-0.065001;0.058000;0;Rare
32546986;163419.594;5146125.000;4.752;465;2;Inexistant;1.735361;3.152829e-02;0.667786;0.999785;0.626373;0.373412;1.323699e-04;2.153399e-04;1.328625e-03;1.160000e-10;0.000000e+00;9.600576;6.015609;0.138000;-0.090000;0.047999;0;Rare
32547037;163414.375;5146126.500;4.414;465;2;Inexistant;1.735646;1.926613e-02;0.666824;0.999951;0.626195;0.373756;3.020214e-05;4.911754e-05;1.531285e-03;1.160000e-10;0.000000e+00;9.605165;6.015180;0.149000;-0.050000;0.099000;0;Rare
32547038;163415.172;5146125.500;4.670;465;2;Inexistant;1.735372;2.657353e-02;0.667234;0.999871;0.625888;0.373983;7.926484e-05;1.288962e-04;1.283079e-03;-1.160000e-10;-0.000000e+00;9.604523;6.012591;0.134000;-0.078000;0.056000;0;Rare
32547039;163415.656;5146126.500;4.589;465;2;Inexistant;1.734402;2.966065e-02;0.667450;0.999821;0.625551;0.374270;1.102421e-04;1.792437e-04;6.408340e-04;-1.160000e-10;-0.000000e+00;9.600551;6.007351;0.110000;-0.077999;0.032001;0;Rare
32547040;163417.234;5146126.000;4.476;465;2;Inexistant;1.733821;1.908868e-02;0.666656;0.999952;0.625298;0.374654;2.938494e-05;4.776209e-05;3.154799e-04;1.160000e-10;0.000000e+00;9.600375;6.003552;0.066999;-0.040000;0.026999;0;Rare
32547041;163418.016;5146126.500;4.453;465;2;Inexistant;1.733919;3.467935e-02;0.667873;0.999713;0.624783;0.374930;1.762713e-04;2.865036e-04;1.744670e-04;1.160000e-10;0.000000e+00;9.601140;6.001380;0.083000;-0.014000;0.069000;0;Rare
32547042;163418.906;5146126.000;4.639;465;2;Inexistant;1.734230;4.909055e-02;0.670248;0.999187;0.624188;0.374998;5.003278e-04;8.134407e-04;1.725926e-05;-1.863000e-09;0.000000e+00;9.600150;6.000113;0.095000;-0.095000;0.000000;0;Rare
32547083;163414.891;5146127.500;4.211;465;2;Inexistant;1.736796;6.075335e-02;0.673120;0.998456;0.622995;0.375462;9.493724e-04;1.543758e-03;9.620325e-04;-1.861000e-09;-4.000000e-12;9.612778;6.003549;0.179000;-0.125999;0.053000;0;Rare
32547084;163416.031;5146127.000;4.280;465;2;Inexistant;1.737058;6.826587e-02;0.675532;0.997807;0.622221;0.375586;1.348042e-03;2.192734e-03;6.906154e-04;1.160000e-10;0.000000e+00;9.611126;6.001321;0.179999;-0.145000;0.035000;0;Rare
32547085;163417.422;5146127.500;3.807;465;2;Inexistant;1.737245;4.882948e-02;0.670528;0.999199;0.626103;0.373096;4.920356e-04;8.008888e-04;2.112014e-03;1.862000e-09;-7.000000e-12;9.605675;6.021834;0.191000;-0.101000;0.090000;0;Rare
32547086;163418.625;5146127.500;3.649;465;2;Inexistant;1.738372;3.533822e-02;0.668676;0.999697;0.628874;0.370822;1.862341e-04;3.034650e-04;3.475563e-03;-1.863000e-09;5.000000e-12;9.601428;6.041007;0.212000;-0.109000;0.103000;0;Rare
32547141;163416.531;5146128.000;4.257;465;2;Inexistant;1.737919;5.502899e-02;0.671703;0.998853;0.624266;0.374587;7.049326e-04;1.146615e-03;2.014228e-03;-1.861000e-09;1.000000e-11;9.616170;6.014076;0.176000;-0.037000;0.139000;0;Rare
38655162;171742.000;5150716.000;5.475;297;3;Inexistant;1.736063;5.467083e-02;0.671760;0.998875;0.625131;0.373744;6.910245e-04;1.124560e-03;1.114544e-03;1.863000e-09;2.000000e-12;9.601050;6.012715;0.185000;-0.088000;0.097000;0;Rare
