Y;X;Total
5054961.08229899;73324.6259799971;1
5166224.72362543;210462.046454665;2
5165373.42829851;195050.859412436;1
5105157.62776517;-193979.664079517;24
5105052.79096177;-194066.229514888;4
5076019.57569952;-176179.338851947;0
5097816.39876723;-179021.653329418;1
5067568.6374741;-176754.052485562;1
4804497.30747639;-385954.462976049;1
5077439.9707908;85599.9555560948;2
5190252.69619154;255840.299983427;1
5194881.42998305;-661579.788942508;1
5311462.86543303;-370692.170999278;1
5319446.59180045;-378278.036120197;1
5314278.52938203;-374549.757705803;1
5167839.73313713;193947.000218555;1
5074690.50663422;75458.0699893656;2
4765896.49134816;-721526.223732282;1
4764683.20766922;-723310.118513034;3
4766450.4356938;-724481.337666746;1
4751821.76491149;-736219.172609318;1
4764152.72815338;-722038.727636728;1
5057586.67645712;71547.6956901894;1
4744501.71357327;-739011.7791103;3
5197319.47801611;282482.291173;1
4791538.15675685;-439975.613015497;0
5057167.95650395;-135759.398042168;1
5057544.68425142;-137931.083555326;1
5256758.7605373;314829.033402575;1
5126399.82868345;138582.314220421;1
4803004.3405331;-387836.188759555;0
4795320.01162042;-390681.394288235;0
4767542.83868522;-652434.693744305;1
4805967.48363206;-392639.311061045;0
4739616.53407096;-739830.041821023;0
5054794.00369695;1707.25022179284;2
4819478.82031706;-390755.330188185;0
4724909.85641986;-722000.814073272;0
4821683.03066307;-391432.133138608;0
5192147.37632848;255245.858118163;1
5188951.20672527;252015.515097775;1
5049338.82953468;-93891.1918744845;0
5049118.51857595;-92178.1239610714;10
5184301.16519378;249913.301360915;0
5052074.00013184;70169.4876354656;0
5085687.05275742;14884.1901483579;1
5049166.37159514;-94687.2186751239;2
5186645.301041;248866.355981242;9
5046049.72328083;-159673.772643826;1
5085198.03748909;-170538.215080353;6
5084987.73020474;-170710.85988571;118
5084501.52302098;-170200.272850851;37
5100251.36262027;-182970.305634283;2
5085663.54949193;98868.8197563002;65
5075359.20316608;97592.2814906452;1
5064869.46589424;95215.3919013884;2
5140757.35549041;155366.009548827;1
5178115.62696628;245729.919633261;40
5178005.97645242;245575.992598455;1
5194032.64910293;255794.993726881;1
5187514.99677207;251010.938177412;0
5194479.15493144;255570.016001441;0
5190052.80731772;268270.131566162;0
5193257.68412885;255407.507141329;0
5125531.7122215;137787.084162983;1
5143508.61644763;165970.849060222;1
5151072.44103032;170829.246847926;2
5153724.74970436;171578.842390712;5
5128549.87635819;141340.079961563;0
5187736.62441567;251089.226241444;1
5194143.80617483;255795.904414397;10
5189395.83127542;252019.432612893;1
5197991.39865887;281190.05742511;0
5194253.71649785;255949.234499766;1
5163225.58354149;190949.906984979;4
5210104.19954927;282150.040896236;1
5145278.18363387;166395.709122169;4
5194143.80617483;255795.904414397;26
5211011.20120925;277897.736043086;0
5193919.6233397;256022.72488144;0
5188284.2704197;252009.639410163;0
5143402.49292329;160969.07034152;1
5171091.65623248;205104.469773207;1
5200341.28366282;277545.013453709;3
5142357.15115834;158174.868358246;1
5194032.64910293;255794.993726881;1
5187626.1526528;251011.935642089;16
5193032.86118182;255710.572942019;0
5126110.65148814;136954.189042023;2
5172140.82374127;202214.073306136;3
5169947.55748609;207075.745517323;1
5148651.05140626;169699.981093337;2
5194143.80617483;255795.904414397;10
5192803.11319078;256623.486397742;12
5038535.75931056;87675.7384410189;1
5163354.12951142;190032.650720019;3
5204759.01260672;284792.329168511;3
5143984.95605229;164597.45144716;1
5196439.57898595;260766.821807082;9
5170688.83909097;209383.831086101;0
5187514.31263175;251087.23412564;20
5187623.42192544;251317.113781036;1
5197111.61552611;260086.179424163;1
5161713.76687756;182948.449541322;1
5140701.12004705;157673.226325795;1
5193921.4920503;255794.083054403;14
5188728.89456555;252013.5564374;2
5125753.99542604;137793.157036867;3
5206759.62749184;284875.092148487;6
5171315.25989939;198526.457219731;2
5189174.19142394;251941.199089791;4
5172083.89932211;199075.681094599;28
5168790.80671306;209889.697109043;3
5194367.37102557;255645.309289309;0
5138380.82147797;152536.186148226;1
5168631.20511363;205982.529773263;0
5178227.53236574;245654.597130264;13
5193031.61243479;255863.023490909;11
5128549.87635819;141340.079961563;0
5144843.74878864;161156.97235253;1
5194461.9721738;257703.808281057;0
5147985.88234245;169608.322918228;1
5128228.8436768;140868.736416021;0
5127914.39611516;136078.123204232;2
5200423.30846497;284930.045896752;0
5169780.08506436;218018.917751222;1
5171078.17266084;199364.175474191;2
5178117.13053314;245577.087538482;24
5194479.15493144;255570.016001441;0
5193809.71114064;255869.387755125;0
5127886.80221749;137080.10482972;2
5178229.03787175;245501.767864177;6
5129220.85649439;141203.814432615;0
5189175.53926166;251788.649626526;1
5130432.44182007;145861.98246235;1
5154959.20701773;171068.662309265;3
5127215.72074476;137215.964499673;10
