,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
37,37,134853.44,5118813.401,-0.12,510,2,573.4698,0.0031659023,0.16477033,0.9999991,0.040583473,0.9594157,8.46621e-07,8.80982e-07,5.877e-09,2.455e-09,2.804e-09,4959.928,201.29549,0.07,-0.049999997,0.02,4
38,38,134623.39,5118816.123,-0.01,510,2,588.72034,0.00254606,0.0989533,0.99999917,0.020649003,0.97935015,8.32613e-07,8.49807e-07,2.86304e-07,3.9e-11,-4.3e-11,5191.2793,107.19915,0.06999999,0.0,0.06999999,4
39,39,134858.9,5118821.373,-0.07,510,2,606.5083,0.0013620397,0.017169988,0.999999,0.0024514883,0.99754745,1.035343e-06,1.037883e-06,3.978882e-06,9.68e-10,1.596e-09,5445.215,13.354531,0.09,-0.07,0.02,4
40,40,134639.25,5118825.574,-0.08,510,2,572.331,0.0018944897,0.045495387,0.9999991,0.007829926,0.9921692,8.81954e-07,8.88861e-07,1.43887e-07,2.967e-09,2.253e-09,5110.9517,40.022915,0.07,-0.049999997,0.02,4
41,41,134861.27,5118825.648,-0.05,510,2,606.5083,0.0013620397,0.017169988,0.999999,0.0024514883,0.99754745,1.035343e-06,1.037883e-06,3.978882e-06,9.68e-10,1.596e-09,5445.215,13.354531,0.089999996,0.0,0.089999996,4
42,42,134648.05,5118828.004,-0.07,510,2,572.331,0.0018944897,0.045495387,0.9999991,0.007829926,0.9921692,8.81954e-07,8.88861e-07,1.43887e-07,2.967e-09,2.253e-09,5110.9517,40.022915,0.06999999,-0.06999999,0.0,4
43,43,134660.16,5118832.561,-0.01,510,2,606.5083,0.0013620397,0.017169988,0.999999,0.0024514883,0.99754745,1.035343e-06,1.037883e-06,3.978882e-06,9.68e-10,1.596e-09,5445.215,13.354531,0.089999996,-0.009999998,0.08,4
44,44,134865.4,5118832.979,-0.05,510,2,606.5083,0.0013620397,0.017169988,0.999999,0.0024514883,0.99754745,1.035343e-06,1.037883e-06,3.978882e-06,9.68e-10,1.596e-09,5445.215,13.354531,0.09,-0.07,0.02,4
45,45,134662.67,5118834.048,-0.03,510,2,605.5558,0.0017755684,0.03066643,0.9999988,0.004866145,0.9951327,1.161292e-06,1.166946e-06,1.2435e-06,1.529e-09,1.063e-09,5423.597,26.39834,0.08,-0.06999999,0.010000002,4
46,46,134665.19,5118835.865,-0.01,510,2,606.5083,0.0013620397,0.017169988,0.999999,0.0024514883,0.99754745,1.035343e-06,1.037883e-06,3.978882e-06,9.68e-10,1.596e-09,5445.215,13.354531,0.089999996,-0.049999997,0.04,4
47,47,134869.14,5118839.225,-0.1,510,2,513.1076,0.0010696584,0.018546699,0.9999995,0.0026854451,0.9973141,4.58116e-07,4.59346e-07,3.572451e-05,-1.825e-09,-3.248e-09,4605.596,12.370192,0.09,-0.07,0.02,4
48,48,134672.1,5118840.128,-0.03,510,2,641.92163,0.00096351607,0.0048210667,0.9999984,0.00056481897,0.9994336,1.581052e-06,1.58195e-06,2.127517e-06,-3.218e-09,-1.88e-09,5774.015,3.2704074,0.12,-0.019999996,0.1,4
49,49,134682.56,5118846.519,-0.02,510,2,513.1076,0.0010696584,0.018546699,0.9999995,0.0026854451,0.9973141,4.58116e-07,4.59346e-07,3.572451e-05,-1.825e-09,-3.248e-09,4605.596,12.370192,0.089999996,-0.049999997,0.04,4
50,50,134684.83,5118847.785,0.01,510,2,444.61606,0.0005350896,0.005579438,0.99999976,0.0006715126,0.99932826,2.28382e-07,2.28535e-07,0.00013084107,-9.38e-10,-1.609e-09,3998.8574,2.686197,0.04,-0.01,0.03,4
51,51,134875.23,5118849.515,-0.1,510,2,444.61606,0.0005350896,0.005579438,0.99999976,0.0006715126,0.99932826,2.28382e-07,2.28535e-07,0.00013084107,-9.38e-10,-1.609e-09,3998.8574,2.686197,0.04,-0.04,0.0,4
52,52,134876.52,5118851.479,-0.1,510,2,665.65137,0.00038872886,0.0008413795,0.9999993,7.8794605e-05,0.9999205,7.38688e-07,7.38747e-07,0.0043062223,-1.53e-09,-1.064e-09,5990.3813,0.4764351,0.12,-0.019999996,0.1,4
53,53,134694.03,5118853.873,0.01,510,2,720.43134,0.0005992846,0.0022270747,0.9999991,0.00023593135,0.99976313,9.09179e-07,9.09395e-07,0.0007082439,3e-11,-5e-11,6482.341,1.5352824,0.1,0.0,0.1,4
