,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
188,75805278,199075.0,5172084.0,1.998,217,28,1.7334144,0.01543177,0.66646457,0.9999748,0.62502533,0.37494946,1.5526706e-05,2.5232075e-05,4.0571147e-05,1.863e-09,0.0,9.600001,6.000486,0.028999925,-0.020999908,0.008000016,0
191,75805279,199076.0,5172084.0,2.012,217,28,1.7333703,0.012590714,0.6663829,0.9999863,0.62500393,0.3749824,8.433003e-06,1.3703894e-05,1.6158598e-05,1.863e-09,0.0,9.600019,6.0001817,0.016000032,-0.011999965,0.0040000677,0
192,75805280,199077.0,5172084.0,2.018,217,28,1.7333747,0.0135842515,0.66640407,0.9999828,0.62498695,0.37499583,1.0591132e-05,1.7210816e-05,1.4029962e-05,-1.16e-10,-0.0,9.600102,6.000104,0.020999908,-0.013999939,0.0069999695,0
189,75805650,199074.0,5172085.0,1.972,217,28,1.7333677,0.010640853,0.66634005,0.9999917,0.6249796,0.37501213,5.090524e-06,8.272082e-06,1.2473058e-05,-1.16e-10,-0.0,9.600213,6.0000167,0.018999934,-0.008999944,0.00999999,0
190,75805651,199075.0,5172085.0,1.978,217,28,1.7333544,0.01177934,0.6663621,0.9999888,0.62498486,0.37500393,6.905517e-06,1.1221515e-05,4.51944e-06,1.16e-10,0.0,9.600074,6.000008,0.018000007,-0.009000063,0.008999944,0
193,75805652,199076.0,5172085.0,1.987,217,28,1.733358,0.01407619,0.66641587,0.99998087,0.6249794,0.3750015,1.1783995e-05,1.9149202e-05,2.180645e-06,-1.16e-10,-0.0,9.600032,6.000006,0.014000058,-0.013000011,0.0010000467,0
194,75805653,199077.0,5172085.0,1.996,217,28,1.733466,0.022118058,0.6667523,0.9999257,0.62493515,0.37499055,4.571996e-05,7.429877e-05,3.2560656e-05,-1.16e-10,-0.0,9.60024,6.000241,0.037999988,-0.014000058,0.02399993,0
852,77067720,201909.0,5172256.0,12.11,461,12,1.7360849,0.051233366,0.6709717,0.9990748,0.6255153,0.37355953,0.00056852447,0.0009251972,0.0012835478,1.16e-10,0.0,9.601262,6.0146194,0.14699936,-0.03999901,0.10700035,0
853,77067721,201910.0,5172256.0,12.11,461,12,1.7358854,0.04373829,0.66937286,0.9994248,0.6253594,0.37406537,0.0003536469,0.00057521014,0.0012899663,-1.16e-10,-0.0,9.60521,6.0122337,0.14699936,0.0,0.14699936,0
854,77067722,201911.0,5172256.0,12.11,461,12,1.7348542,0.037596904,0.66842544,0.9996348,0.6256801,0.3739547,0.00022454881,0.00036520854,0.0008450794,-1.16e-10,-0.0,9.60009,6.0100913,0.081998825,0.0,0.081998825,0
855,77067974,201908.0,5172257.0,11.93,461,12,1.7362871,0.05665716,0.67212176,0.9987483,0.6241411,0.37460724,0.0007694791,0.0012516689,0.0010065921,-1.16e-10,-0.0,9.606638,6.007922,0.15400124,-0.048000336,0.1060009,0
856,77067975,201909.0,5172257.0,11.805,461,12,1.7349257,0.048112877,0.6701196,0.9992342,0.62466425,0.37456995,0.00047092416,0.0007658149,0.00052703446,-1.16e-10,-0.0,9.601753,6.005225,0.13299942,-0.13299942,0.0,0
858,77067976,201910.0,5172257.0,11.805,461,12,1.7358402,0.053953156,0.6715525,0.9989193,0.6250064,0.37391287,0.00066417194,0.0010807192,0.0009821448,-1.16e-10,-0.0,9.601075,6.01111,0.13299942,-0.11299896,0.020000458,0
859,77067977,201911.0,5172257.0,11.805,461,12,1.7365034,0.04994142,0.67076904,0.99914306,0.6260665,0.37307653,0.0005264532,0.0008569502,0.0016549205,1.16e-10,0.0,9.60113,6.0191736,0.13299942,-0.11299896,0.020000458,0
857,77068224,201909.0,5172258.0,11.805,461,12,1.7350893,0.041912224,0.6688117,0.99949414,0.6240205,0.37547356,0.00031131163,0.00050589145,0.00061381044,1.862e-09,2e-12,9.609534,6.001408,0.09399986,0.0,0.09399986,0
860,77068225,201910.0,5172258.0,11.805,461,12,1.7534118,0.10403529,0.694957,0.9921398,0.62587184,0.36626798,0.0047881408,0.007860174,0.008362218,1.861e-09,2.3e-11,9.613049,6.092097,0.39400005,-0.3039999,0.09000015,3
861,77068226,201911.0,5172258.0,11.805,461,12,1.7604988,0.09810632,0.69037426,0.99343276,0.62185645,0.37157628,0.004016697,0.006567263,0.01218841,1.853e-09,5.9e-11,9.690872,6.089974,0.39400005,0.0,0.39400005,3
111,77089007,202213.0,5172140.0,15.51,195,3,1.7340978,0.019160144,0.66670674,0.9999517,0.6255631,0.3743886,2.97133e-05,4.8303715e-05,0.0005238526,-1.863e-09,1e-12,9.600337,6.00608,0.07999992,-0.02999878,0.050001144,0
112,77089008,202214.0,5172140.0,15.41,195,3,1.7337521,0.019351102,0.6666602,0.99995023,0.62525004,0.37470016,3.061416e-05,4.9758713e-05,0.00026629432,-1.863e-09,1e-12,9.600254,6.0030375,0.07100105,-0.028999329,0.042001724,0
117,77089009,202215.0,5172140.0,15.41,195,3,1.7338009,0.03235724,0.6676052,0.9997673,0.62483317,0.37493414,0.00014317092,0.00023269549,0.00013871826,1.863e-09,-1e-12,9.600825,6.001148,0.059000015,-0.012001038,0.046998978,0
113,77089099,202213.0,5172141.0,15.51,195,3,1.7338666,0.030618545,0.6674562,0.9998028,0.62504745,0.37475535,0.00012129601,0.0001971596,0.00023149395,1.16e-10,-0.0,9.600344,6.0025635,0.069000244,-0.028999329,0.040000916,0
114,77089100,202214.0,5172141.0,15.41,195,3,1.7340101,0.029106243,0.6673152,0.99983066,0.62509286,0.3747378,0.00010419182,0.00016935667,0.00033457685,-1.16e-10,0.0,9.601198,6.0032663,0.069000244,0.0,0.069000244,0
118,77089101,202215.0,5172141.0,15.41,195,3,1.7338996,0.03339373,0.66772574,0.9997442,0.6248378,0.37490642,0.00015737771,0.00025579377,0.00018655302,-1.16e-10,0.0,9.601071,6.0015683,0.07999992,-0.019001007,0.060998917,0
119,77089102,202216.0,5172141.0,15.41,195,3,1.7336487,0.03093558,0.6674408,0.9997967,0.6247755,0.37502113,0.0001251162,0.00020333662,5.2921467e-05,-1.863e-09,0.0,9.60067,6.000216,0.065000534,-0.020999908,0.044000626,0
115,77089191,202213.0,5172142.0,15.14,195,3,1.7339702,0.041711614,0.66886854,0.9995013,0.6245348,0.37496647,0.00030680248,0.0004987173,6.6728855e-05,-1.863e-09,-0.0,9.600383,6.0005608,0.09300041,-0.045000076,0.048000336,0
116,77089192,202214.0,5172142.0,15.0,195,3,1.7341976,0.04256291,0.6690214,0.99947006,0.624566,0.37490407,0.00032597815,0.00052991847,0.00019029765,1.863e-09,-1e-12,9.6010895,6.0016017,0.09800148,-0.046001434,0.052000046,0
120,77089193,202215.0,5172142.0,15.0,195,3,1.734426,0.029470934,0.66743314,0.99982417,0.62556183,0.37426233,0.00010813947,0.00017582544,0.0006579636,-1.16e-10,0.0,9.600655,6.0074916,0.092998505,-0.060998917,0.031999588,0
555,77539669,200461.0,5172614.0,4.02,313,24,1.7337389,0.023496166,0.66680217,0.99991095,0.62472904,0.3751819,5.4814387e-05,8.9068286e-05,0.00014555709,-1.16e-10,0.0,9.602795,6.0,0.038999796,0.0,0.038999796,0
557,77539670,200462.0,5172614.0,4.02,313,24,1.7336882,0.025861634,0.66697514,0.9998812,0.6247476,0.37513366,7.309363e-05,0.00011877606,0.000106952444,-1.16e-10,0.0,9.602054,6.0,0.038999796,-0.038999796,0.0,0
558,77539671,200463.0,5172614.0,4.02,313,24,1.7334234,0.019729558,0.66662115,0.99994725,0.6249275,0.3750198,3.2449665e-05,5.2731775e-05,1.5821826e-05,-1.16e-10,0.0,9.600304,6.0,0.03000021,0.0,0.03000021,0
556,77540173,200461.0,5172615.0,3.93,313,24,1.7439466,0.07463845,0.67755973,0.997132,0.6193669,0.37776512,0.0017647989,0.0028679797,0.0038291311,1.857e-09,1.5e-11,9.65817,6.00965,0.2750001,-0.2750001,0.0,3
