        id           X            Y       Z  Nbrs_Moules id_moules
   4427859  141338.000  5128552.000  13.658            0       174
   4427860  141339.000  5128552.000  13.585            0       174
   4428371  141338.000  5128553.000  13.510            0       174
   4428372  141339.000  5128553.000  13.630            0       174
   4427349  141340.000  5128551.000  13.585            0       174
   4427350  141341.000  5128551.000  13.585            0       174
   4427351  141342.000  5128551.000  13.728            0       174
   4427861  141340.000  5128552.000  13.585            0       174
   4427862  141341.000  5128552.000  13.585            0       174
   4427863  141342.000  5128552.000  13.728            0       174
   4428373  141340.000  5128553.000  13.630            0       174
   4428374  141341.000  5128553.000  13.630            0       174
   4428375  141342.000  5128553.000  13.694            0       174
   4428883  141338.000  5128554.000  13.510            0       174
   4428884  141339.000  5128554.000  13.630            0       174
   4428885  141340.000  5128554.000  13.630            0       174
   4428886  141341.000  5128554.000  13.630            0       174
   4428887  141342.000  5128554.000  13.694            0       174
   4424792  141343.000  5128546.000  13.799            0       174
   4425304  141343.000  5128547.000  13.799            0       174
   4425305  141344.000  5128547.000  13.841            0       174
   4425816  141343.000  5128548.000  13.790            0       174
   4425817  141344.000  5128548.000  13.790            0       174
   4426328  141343.000  5128549.000  13.790            0       174
   4426329  141344.000  5128549.000  13.790            0       174
   4426840  141343.000  5128550.000  13.728            0       174
   4426841  141344.000  5128550.000  13.771            0       174
   4426330  141345.000  5128549.000  13.790            0       174
   4426842  141345.000  5128550.000  13.771            0       174
   4427352  141343.000  5128551.000  13.728            0       174
   4427353  141344.000  5128551.000  13.771            0       174
   4427864  141343.000  5128552.000  13.728            0       174
   4427865  141344.000  5128552.000  13.771            0       174
   4428376  141343.000  5128553.000  13.694            0       174
 104796258  251085.000  5187734.000  13.079            1       175
 104795935  251087.000  5187733.000  12.880            1       175
 104795936  251088.000  5187733.000  12.808            1       175
 104796259  251086.000  5187734.000  12.962            1       175
 104796260  251087.200  5187734.020  12.820            1       175
 104796261  251088.000  5187734.000  12.819            1       175
 104796581  251085.000  5187735.000  13.058            1       175
 104796902  251085.000  5187736.000  13.074            1       175
 104796582  251086.000  5187735.000  12.963            1       175
 104796583  251087.000  5187735.000  12.892            1       175
 104796584  251088.000  5187735.000  12.857            1       175
 104796903  251086.150  5187735.720  12.970            1       175
 104796904  251087.000  5187736.000  12.952            1       175
 104796905  251088.000  5187736.000  12.913            1       175
 104797224  251086.000  5187737.000  13.037            1       175
 104797225  251087.000  5187737.000  13.001            1       175
 104797226  251087.840  5187736.780  12.960            1       175
 104795609  251088.260  5187732.320  12.800            1       175
 104795610  251089.000  5187732.000  12.754            1       175
 104795611  251090.000  5187732.000  12.690            1       175
 104795937  251089.000  5187733.000  12.751            1       175
 104795938  251089.960  5187733.380  12.670            1       175
 104796262  251089.000  5187734.000  12.784            1       175
 104796263  251090.000  5187734.000  12.710            1       175
 104795939  251091.000  5187733.000  12.650            1       175
 104795940  251092.000  5187733.000  12.637            1       175
 104796264  251091.000  5187734.000  12.687            1       175
 104796585  251088.900  5187735.080  12.830            1       175
 104796586  251090.000  5187735.000  12.778            1       175
 104796906  251089.000  5187736.000  12.880            1       175
 104796907  251090.000  5187736.000  12.844            1       175
 104797227  251089.000  5187737.000  12.938            1       175
 104797228  251090.000  5187737.000  12.904            1       175
 104796265  251091.660  5187734.440  12.700            1       175
 104796587  251091.000  5187735.000  12.750            1       175
 104796588  251092.000  5187735.000  12.735            1       175
 104796908  251090.600  5187736.130  12.830            1       175
 104796909  251092.000  5187736.000  12.786            1       175
 104797229  251091.000  5187737.000  12.867            1       175
 104796266  251093.000  5187734.000  12.698            1       175
 104796589  251093.350  5187735.490  12.790            1       175
 104796910  251093.000  5187736.000  12.807            1       175
 104796911  251094.000  5187736.000  12.801            1       175
 104797231  251093.000  5187737.000  12.839            1       175
 104797232  251094.000  5187737.000  12.844            1       175
 104797223  251085.090  5187737.420  13.090            1       175
 104797541  251085.000  5187738.000  13.042            1       175
