Latitude;Longitude;Total;Classe;Date;source
47.58939;-79.48486;1;Inexistant;2000-05-01;DonnesOnQc2017
47.65235;-79.5967;1;Inexistant;2000-04-30;DonnesOnQc2017
47.60967;-79.53993;1;Inexistant;2000-04-29;DonnesOnQc2017
46.640916;-71.948416;1;Inexistant;1999-10-18;DonnesOnQc2017
45.77358;-73.449144;2;Inexistant;2447-01-19;DonnesOnQc2017
42.35083333;-82.94916667;1;Inexistant;1905-06-16;DonnesOnQc2017
42.35083333;-82.94916667;1;Inexistant;1905-06-16;DonnesOnQc2017
42.3375;-82.96833333;3;Inexistant;1992-07-16;DonnesOnQc2017
42.3375;-82.96833333;3;Inexistant;1992-07-16;DonnesOnQc2017
42.35166667;-82.985;1;Inexistant;1992-07-15;DonnesOnQc2017
42.35166667;-82.985;1;Inexistant;1992-07-15;DonnesOnQc2017
42.20833333;-83.09833333;1;Inexistant;1992-07-01;DonnesOnQc2017
42.20833333;-83.09833333;1;Inexistant;1992-07-01;DonnesOnQc2017
42.335;-82.95166667;1;Inexistant;1992-05-08;DonnesOnQc2017
42.335;-82.95166667;1;Inexistant;1992-05-08;DonnesOnQc2017
45.619483;-73.491251;1;Inexistant;1982-05-06;DonnesOnQc2017
42.14;-83.11833333;3;Inexistant;1905-06-04;DonnesOnQc2017
42.35083333;-82.94916667;4;Rare;1905-06-04;DonnesOnQc2017
42.3375;-82.96833333;2;Inexistant;1905-06-04;DonnesOnQc2017
42.35083333;-82.94916667;4;Rare;1905-06-04;DonnesOnQc2017
42.14;-83.11833333;3;Inexistant;1905-06-04;DonnesOnQc2017
42.3375;-82.96833333;2;Inexistant;1905-06-04;DonnesOnQc2017
46.9147;-70.7928;1;Inexistant;1974-07-11;DonnesOnQc2017
42.89944;-79.61668;0;Inexistant;1963-06-19;DonnesOnQc2017
45.5153;-76.1392;1;Inexistant;1962-09-02;DonnesOnQc2017
45.5167;-76.1667;1;Inexistant;1962-07-22;DonnesOnQc2017
46.19983;-83.02632;0;Inexistant;1955-08-14;DonnesOnQc2017
47.45;-70.3667;1;Inexistant;1953-09-06;DonnesOnQc2017
46.256666;-72.655833;1;Inexistant;1947-09-10;DonnesOnQc2017
43.05;-79;0;Inexistant;1935-07-13;DonnesOnQc2017
43.05;-79;0;Inexistant;1935-07-13;DonnesOnQc2017
42.97916667;-79.025;0;Inexistant;1935-03-30;DonnesOnQc2017
42.97916667;-79.025;0;Inexistant;1935-03-30;DonnesOnQc2017
42.45277778;-82.13055556;1;Inexistant;1934-06-25;DonnesOnQc2017
42.45277778;-82.13055556;1;Inexistant;1934-06-25;DonnesOnQc2017
43.07222222;-79.0625;0;Inexistant;1905-04-17;DonnesOnQc2017
42.09583333;-83.11944444;0;Inexistant;1905-04-17;DonnesOnQc2017
45.5667;-74.3833;2;Inexistant;2429-04-04;DonnesOnQc2017
43.19444444;-79.05555556;0;Inexistant;1905-04-14;DonnesOnQc2017
